dump	倾倒；甩掉
clue	线索
merry	快乐的
zone	区域
senior	年长的
emperor	皇帝
incident	事件
sentence	句子；判决
anger	愤怒
warrant	逮捕令
kingdom	王国
squad	小队
highness	殿下
sometime	某时
negative	消极的
chain	链条
bull	公牛
fully	完全地
gorgeous	华丽的
passion	激情
empire	帝国
curse	诅咒
hire	雇用
estate	房地产
gunshot	枪声
device	装置
movement	运动
object	物体；反对
loser	失败者
conference	会议
provide	提供
seek	寻求
prize	奖品
previously	先前
wire	电线
approach	靠近；方法
normally	通常
tail	尾巴
bravo	好极了！（喝彩声）
rape	强奸
tank	坦克；水箱
authority	权威
current	当前的；水流
nightmare	噩梦
glory	荣耀
agency	机构
reputation	名声
confidence	信心
yard	院子
beloved	心爱的
lack	缺乏
actual	实际的
flesh	肉体
secure	安全的；确保
highly	高度地
federal	联邦的
emotional	情感的
robbery	抢劫
reward	奖励
commit	犯(罪)；承诺
entirely	完全地
extraordinary	非凡的
opposite	相反的
bay	海湾
slip	滑倒；纸条
alert	警觉的
detail	细节
garbage	垃圾
panic	恐慌
saint	圣人
solid	固体的；可靠的
intend	打算
custody	监护权；拘留
naturally	自然地
guarantee	保证
gather	聚集
violent	暴力的
maid	女仆
childhood	童年
bow	鞠躬；弓
chick	小鸡；妞
disaster	灾难
demon	恶魔
heavily	沉重地
coincidence	巧合
terrific	极好的
crown	王冠
virgin	处女
impressive	令人印象深刻的
potential	潜在的
committee	委员会
advance	前进；预付
quietly	安静地
swing	摇摆
dirt	泥土
whistle	哨子
urgent	紧急的
assure	保证
explanation	解释
unique	独特的
production	生产
slave	奴隶
behave	表现
bury	埋葬
massive	巨大的
pathetic	可悲的
species	物种
struggle	挣扎
daily	每日的
navy	海军
couch	沙发
cheer	欢呼
shoe	鞋
punishment	惩罚
closet	壁橱
bye-bye	再见
coward	懦夫
flash	闪光
siren	警笛
supply	供应
sensitive	敏感的
hopefully	希望
tone	语气；音调
confess	坦白
demand	要求
unknown	未知的
suspicious	可疑的
steady	稳定的
joint	关节；联合的
civil	公民的
express	表达
miserable	痛苦的
shine	照耀
assault	袭击
argue	争论
trail	小径；追踪
mighty	强大的
accent	口音
mobile	移动的
terribly	非常；糟糕地
balance	平衡
nuclear	核的
impression	印象
reaction	反应
gear	装备；齿轮
lane	车道
blast	爆炸
anytime	任何时候
league	联盟
specific	具体的
term	术语；学期
commissioner	局长
rip	撕
mysterious	神秘的
entrance	入口
aboard	在船上
bust	逮捕；半身像
teddy	泰迪熊
afterwards	之后
comfort	安慰
surrender	投降
crush	压碎；暗恋
pee	尿
wing	翅膀
comrade	同志
noble	高尚的
legend	传奇
gross	恶心的；总的
insist	坚持
classic	经典的
skull	头骨
therapy	治疗
lifetime	一生
throughout	遍及
toward	朝向
experiment	实验
cheat	作弊
servant	仆人
bible	圣经
practically	几乎
steel	钢
generation	一代
cabin	小屋；机舱
bond	纽带；债券
deck	甲板
painful	痛苦的
