saint 圣人
solid 固体的；可靠的
intend 打算
custody 监护权；拘留
naturally 自然地
guarantee 保证
gather 聚集
violent 暴力的
maid 女仆
childhood 童年
bow 鞠躬；弓
chick 小鸡；妞
disaster 灾难
demon 恶魔
heavily 沉重地
coincidence 巧合
terrific 极好的
crown 王冠
virgin 处女
impressive 令人印象深刻的
potential 潜在的
committee 委员会
advance 前进；预付
quietly 安静地
swing 摇摆
dirt 泥土
whistle 哨子
urgent 紧急的
assure 保证
explanation 解释
unique 独特的
production 生产
slave 奴隶
behave 表现
bury 埋葬
massive 巨大的
pathetic 可悲的
species 物种
struggle 挣扎
daily 每日的
navy 海军
couch 沙发
cheer 欢呼
shoe 鞋
punishment 惩罚
closet 壁橱
bye-bye 再见
coward 懦夫
flash 闪光
siren 警笛
supply 供应
sensitive 敏感的
hopefully 希望
tone 语气；音调
confess 坦白
demand 要求
unknown 未知的
suspicious 可疑的
steady 稳定的
joint 关节；联合的
civil 公民的
express 表达
miserable 痛苦的
shine 照耀
assault 袭击
argue 争论
trail 小径；追踪
mighty 强大的
accent 口音
mobile 移动的
terribly 非常；糟糕地
balance 平衡
nuclear 核的
impression 印象
favour 恩惠；赞成
reaction 反应
gear 装备；齿轮
lane 车道
blast 爆炸
anytime 任何时候
league 联盟
specific 具体的
term 术语；学期
commissioner 局长
rip 撕
mysterious 神秘的
entrance 入口
aboard 在船上
bust 逮捕；半身像
afterwards 之后
comfort 安慰
surrender 投降
crush 压碎；暗恋
pee 尿
wing 翅膀
comrade 同志
noble 高尚的
legend 传奇
gross 恶心的；总的
insist 坚持
classic 经典的
skull 头骨
therapy 治疗
lifetime 一生
throughout 遍及
toward 朝向
experiment 实验
cheat 作弊
servant 仆人
practically 几乎
steel 钢
generation 一代
cabin 小屋；机舱
bond 纽带；债券
deck 甲板
painful 痛苦的
attractive 有吸引力的
realise 意识到
torture 折磨
recent 最近的
sacred 神圣的
jewish 犹太的
crystal 水晶
lad 小伙子
mile 英里
division 部门；分裂
scratch 抓；刮
contest 比赛
distant 遥远的
motion 运动
electricity 电
centre 中心
seal 密封；海豹
standard 标准
inform 通知
purse 钱包
buck 美元；雄鹿
construction 建设
confession 供认
trigger 触发
frankly 坦白说
response 回应
