with 和…一起
well 好；嗯
really 真的
by 被；通过
something 某事
little 小的
any 任何
sure 确定的
these 这些
great 很棒
last 最后的
around 周围
which 哪一个
lot 许多
another 另一个
kill 杀死
care 在乎
dead 死的
mind 头脑；介意
friend 朋友
yourself 你自己
actually 其实
both 两者都
such 这样的
also 也
haven 避难所
whole 整个的
matter 事情；要紧
bring 带来
tonight 今晚
alone 独自
die 死
each 每个
probably 大概
sit 坐
stuff 东西
exactly 确切地
death 死亡
crazy 疯狂的
kid 小孩
whatever 随便
shut 关上
mine 我的
chance 机会
dear 亲爱的
against 反对；靠着
word 单词
set 放置；一套
shall 将要
hurt 伤害
fight 打架
stand 站
though 虽然
between 在…之间
behind 在后面
able 能够
trouble 麻烦
yours 你的
either 也；两者之一
power 力量
gun 枪
hurry 赶快
along 沿着
funny 好笑的
alive 活着
ahead 在前面
alright 好的
safe 安全的
anybody 任何人
perfect 完美的
himself 他自己
serious 严肃的
possible 可能的
shoot 射击
touch 触摸
sound 声音
glad 高兴的
murder 谋杀
seem 似乎
till 直到
sense 感觉
sex 性
master 主人；精通
rather 相当
bet 打赌
secret 秘密
fall 落下
fault 过错
mad 生气的
piece 一片
wonder 想知道
worth 值得
darling 亲爱的
figure 认为；数字
act 行动；表演
weird 奇怪的
chief 首领
general 一般的；将军
officer 军官；警官
wake 醒来
busy 忙的
mistake 错误
kiss 亲吻
marry 结婚
suppose 猜想
evidence 证据
totally 完全地
information 信息
instead 代替
definitely 肯定地
film 电影
unless 除非
round 圆的；一轮
seriously 认真地
entire 整个的
across 穿过
buddy 伙伴
swear 发誓
dangerous 危险的
army 军队
fair 公平的
fool 傻瓜
attention 注意
club 俱乐部
single 单个的
fear 害怕
force 力量；强迫
american 美国的
honor 荣誉
idiot 白痴
surprise 惊喜
paper 纸
accident 事故
cover 覆盖
certain 确定的
deep 深的
detective 侦探
stick 棍子；粘
personal 个人的
hide 躲藏
whether 是否
soul 灵魂
agent 特工；代理人
blow 吹；打击
scene 场景
killer 杀手
mess 混乱
tough 艰难的
cell 细胞；牢房
within 在…之内
dare 敢
lieutenant 中尉
machine 机器
pleasure 愉快
bloody 该死的
french 法国的
impossible 不可能的
obviously 显然
neither 两者都不
sake 缘故
carry 携带
upset 心烦的
evil 邪恶的
joke 玩笑
cop 警察
huge 巨大的
holy 神圣的
jail 监狱
laughter 笑声
whose 谁的
madam 女士
board 板；董事会
grab 抓住
magic 魔法
reach 到达
colonel 上校
victim 受害者
upon 在…之上
planet 星球
arrest 逮捕
rid 摆脱
knock 敲
owe 欠
final 最后的
escape 逃跑
grand 宏伟的
themselves 他们自己
mate 伙伴
press 按；新闻界
bother 打扰
blame 责怪
type 类型；打字
mission 任务
heaven 天堂
risk 风险
favor 帮助
awesome 极好的
guard 守卫
innocent 无辜的
narrator 旁白
herself 她自己
battle 战斗
ourselves 我们自己
gay 同性恋的
guilty 有罪的
apart 分开
bell 铃
bunch 一串
witness 目击者
upstairs 楼上
steal 偷
twice 两次
indeed 确实
energy 能量
pregnant 怀孕的
form 形式
silly 傻的
hole 洞
track 轨道；跟踪
above 在…上面
complete 完成的
applause 掌声
weapon 武器
crowd 人群
treat 对待
roll 滚动
spirit 精神
danger 危险
cost 花费
itself 它自己
apparently 显然
pop 流行音乐
client 客户
bomb 炸弹
suspect 怀疑
extra 额外的
