pound 磅；猛击
motel 汽车旅馆
fond 喜欢的
halfway 半路
rifle 步枪
reception 接待；前台
brick 砖
abandon 抛弃
lap 大腿；一圈
rub 摩擦
complaint 投诉
sail 航行
bucket 桶
badge 徽章
measure 测量
function 功能
indistinctly 模糊地
foundation 基础；基金会
labor 劳动
homeless 无家可归的
unfortunate 不幸的
log 日志；木头
combat 战斗
polish 抛光；波兰语
satellite 卫星
jersey 运动衫
chapter 章节
flip 翻转
barn 谷仓
clan 氏族
pub 酒吧
temporary 临时的
effective 有效的
lamb 羔羊
plot 情节；阴谋
proposal 提议；求婚
rage 愤怒
basis 基础
twist 扭曲
leak 泄漏
item 物品；项目
catholic 天主教的
inner 内部的
patch 补丁
necessarily 必然
humor 幽默
e-mail 电子邮件
rocky 崎岖的
creative 有创意的
betray 背叛
soviet 苏联的
various 各种各样的
cowboy 牛仔
radar 雷达
prosecutor 检察官
amber 琥珀
vast 广阔的
pump 泵
valentine 情人节
marine 海洋的；陆战队
sack 麻袋；解雇
bid 出价
require 需要
achieve 实现
dope 毒品；兴奋剂
nest 巢
palm 手掌；棕榈
constant 不断的
medication 药物
gravity 重力
booze 酒
analysis 分析
vodka 伏特加
solar 太阳的
chemical 化学的
phase 阶段
fleet 舰队
lame 跛的；差劲的
irish 爱尔兰的
editor 编辑
whip 鞭子
region 地区
amongst 在…之中
temper 脾气
discussion 讨论
operate 操作；动手术
undercover 卧底
horror 恐怖
smash 砸碎
contrary 相反的
poker 扑克
korean 韩国的
tragic 悲惨的
entertainment 娱乐
sober 清醒的
needle 针
traditional 传统的
delicate 精致的；微妙的
independent 独立的
executive 主管；行政的
weakness 弱点
european 欧洲的
permit 允许
nowadays 如今
northern 北方的
con 骗局；反对
technique 技术
cellphone 手机
gently 轻轻地
bunny 兔子
gunfire 枪声
backwards 向后
baron 男爵
marshal 元帅
petty 琐碎的
massage 按摩
wagon 马车
audition 试镜
mexican 墨西哥的
casino 赌场
bacon 培根
dutch 荷兰的
forgiveness 宽恕
burst 爆裂
permanent 永久的
interfere 干涉
unfair 不公平的
conduct 行为；指挥
avenue 大道
reverse 反转
absurd 荒谬的
ruby 红宝石
ranch 牧场
ash 灰
leather 皮革
conspiracy 阴谋
guardian 监护人
yen 日元；渴望
terror 恐怖
halt 停止
immunity 豁免权
