betray	背叛
soviet	苏联的
various	各种各样的
cowboy	牛仔
radar	雷达
amber	琥珀
vast	广阔的
pump	泵
valentine	情人节
marine	海洋的；陆战队
sack	麻袋；解雇
bid	出价
require	需要
achieve	实现
dope	毒品；兴奋剂
nest	巢
palm	手掌；棕榈
constant	不断的
boo	嘘！（喝倒彩）
medication	药物
gravity	重力
booze	酒
analysis	分析
vodka	伏特加
solar	太阳的
chemical	化学的
phase	阶段
fleet	舰队
lame	跛的；差劲的
irish	爱尔兰的
editor	编辑
whip	鞭子
region	地区
amongst	在…之中
temper	脾气
discussion	讨论
operate	操作；动手术
undercover	卧底
horror	恐怖
smash	砸碎
contrary	相反的
poker	扑克
korean	韩国的
tragic	悲惨的
entertainment	娱乐
sober	清醒的
needle	针
traditional	传统的
delicate	精致的；微妙的
independent	独立的
executive	主管；行政的
weakness	弱点
european	欧洲的
permit	允许
daisy	雏菊
nowadays	如今
northern	北方的
con	骗局；反对
technique	技术
cellphone	手机
gently	轻轻地
bunny	兔子
gunfire	枪声
backwards	向后
baron	男爵
marshal	元帅
petty	琐碎的
massage	按摩
wagon	马车
audition	试镜
mexican	墨西哥的
casino	赌场
bacon	培根
dutch	荷兰的
forgiveness	宽恕
burst	爆裂
permanent	永久的
interfere	干涉
unfair	不公平的
conduct	行为；指挥
avenue	大道
reverse	反转
ford	浅滩；涉水而过
absurd	荒谬的
ruby	红宝石
ranch	牧场
ash	灰
leather	皮革
conspiracy	阴谋
guardian	监护人
yen	日元；渴望
terror	恐怖
halt	停止
immunity	豁免权
closely	密切地
pearl	珍珠
priority	优先
boot	靴子；启动
conflict	冲突
sore	疼痛的
unconscious	无意识的
cattle	牛
fairly	相当
recognise	认出
radiation	辐射
specifically	具体地
spoil	破坏；溺爱
candidate	候选人
bloke	家伙
explode	爆炸
immediate	立即的
hunger	饥饿
combination	组合
nanny	保姆
severe	严重的
gut	内脏；勇气
splendid	极好的
vulnerable	脆弱的
vital	至关重要的
bureau	局；办事处
retreat	撤退
ace	王牌
ham	火腿
galaxy	银河；星系
alliance	联盟
drown	溺水
alike	相似的
wreck	残骸；毁坏
approve	批准
physically	身体上
spiritual	精神的
stab	刺
inch	英寸
unexpected	意外的
scandal	丑闻
stink	发臭
homer	本垒打
shield	盾牌
shooter	射手
instant	瞬间
rehearsal	排练
electronic	电子的
republic	共和国
overnight	一夜之间
counsel	顾问；忠告
bait	诱饵
dignity	尊严
lean	倾斜；瘦的
gossip	八卦
humble	谦逊的
impress	使印象深刻
tissue	纸巾；组织
threaten	威胁
bump	碰撞；肿块
supreme	至高的
bingo	宾果
excitement	兴奋
mankind	人类
broad	宽阔的
vessel	船；血管
foul	犯规；恶臭的
stare	凝视
hut	小屋
coma	昏迷
coffin	棺材
cocaine	可卡因
puppy	小狗
announcement	公告
oath	誓言
mob	暴民
cotton	棉花
autopsy	尸检
advise	建议
gig	演出
skinny	瘦的
include	包括
assistance	帮助
solo	独奏；独自
determine	决定
elsewhere	别处
practical	实用的
adorable	可爱的
rubber	橡胶
suite	套房
personnel	人员
beam	光束
