little	小的
sure	确定的
great	很棒
last	最后的
whole	整个的
able	能够
funny	好笑的
alive	活着
safe	安全的
perfect	完美的
serious	严肃的
possible	可能的
weird	奇怪的
busy	忙的
entire	整个的
dangerous	危险的
fair	公平的
single	单个的
certain	确定的
deep	深的
personal	个人的
tough	艰难的
impossible	不可能的
huge	巨大的
final	最后的
grand	宏伟的
awesome	极好的
complete	完成的
extra	额外的
ridiculous	荒唐的
asleep	睡着的
awful	糟糕的
excellent	优秀的
common	常见的
necessary	必要的
tight	紧的
powerful	强大的
natural	自然的
horrible	可怕的
fantastic	极好的
incredible	难以置信的
original	原来的
female	女性的
usual	通常的
male	男性的
tiny	微小的
indistinct	模糊的
spare	空闲的；饶恕
loose	松的
naked	赤裸的
fancy	花哨的；喜欢
sudden	突然的
familiar	熟悉的
giant	巨大的
particular	特定的
proper	恰当的
useless	没用的
regular	普通的；定期的
odd	奇怪的
pure	纯净的
prime	首要的
available	可用的
central	中央的
capable	有能力的
unbelievable	难以置信的
junior	年少的
silent	沉默的
precious	珍贵的
successful	成功的
exact	精确的
direct	直接的
rare	稀有的
unusual	不寻常的
nasty	讨厌的
senior	年长的
negative	消极的
gorgeous	华丽的
current	当前的；水流
actual	实际的
secure	安全的；确保
extraordinary	非凡的
opposite	相反的
solid	固体的；可靠的
terrific	极好的
impressive	令人印象深刻的
potential	潜在的
urgent	紧急的
unique	独特的
massive	巨大的
pathetic	可悲的
unknown	未知的
steady	稳定的
mighty	强大的
mobile	移动的
specific	具体的
mysterious	神秘的
gross	恶心的；总的
classic	经典的
attractive	有吸引力的
distant	遥远的
everyday	日常的
foolish	愚蠢的
filthy	肮脏的
basic	基本的
western	西方的
reasonable	合理的
nearby	附近的
favourite	最喜欢的
rotten	腐烂的
lousy	糟糕的
individual	个人的
intelligent	聪明的
extreme	极端的
minor	次要的
intense	强烈的
absolute	绝对的
stable	稳定的
unable	不能的
worthy	值得的
southern	南方的
typical	典型的
helpful	有帮助的
random	随机的
active	活跃的
invisible	看不见的
internal	内部的
peaceful	和平的
talented	有天赋的
brief	简短的
eternal	永恒的
fabulous	极好的
upper	上面的
critical	关键的；批评的
enormous	巨大的
appropriate	适当的
remarkable	非凡的
magnificent	壮丽的
superior	优越的
ultimate	最终的
fond	喜欢的
unfortunate	不幸的
temporary	临时的
effective	有效的
inner	内部的
creative	有创意的
various	各种各样的
vast	广阔的
constant	不断的
traditional	传统的
delicate	精致的；微妙的
independent	独立的
petty	琐碎的
permanent	永久的
unfair	不公平的
absurd	荒谬的
immediate	立即的
severe	严重的
splendid	极好的
vulnerable	脆弱的
vital	至关重要的
alike	相似的
unexpected	意外的
supreme	至高的
broad	宽阔的
skinny	瘦的
practical	实用的
adorable	可爱的
anonymous	匿名的
harsh	严厉的
significant	重要的
wee	很小的
teenage	青少年的
worthless	一文不值的
risky	冒险的
glorious	光荣的
blank	空白的
slight	轻微的
so-called	所谓的
genuine	真正的
formal	正式的
technical	技术的
strict	严格的
bare	赤裸的
outer	外部的
handy	方便的
stiff	僵硬的
old-fashioned	老式的
marvelous	极好的
endless	无尽的
convenient	方便的
accurate	准确的
tricky	棘手的
fortunate	幸运的
hilarious	搞笑的
exclusive	独家的
dreadful	可怕的
tremendous	巨大的
intimate	亲密的
essential	必要的
precise	精确的
harmless	无害的
good-looking	好看的
stark	鲜明的；荒凉的
unlikely	不太可能的
mutual	相互的
spectacular	壮观的
reliable	可靠的
elegant	优雅的
crucial	至关重要的
sole	唯一的；脚底
fragile	易碎的
suitable	合适的
initial	最初的
shiny	闪亮的
unpleasant	令人不快的
