with	和…一起
well	好；嗯
really	真的
by	被；通过
something	某事
little	小的
any	任何
sure	确定的
these	这些
great	很棒
last	最后的
around	周围
which	哪一个
lot	许多
another	另一个
kill	杀死
care	在乎
dead	死的
mind	头脑；介意
friend	朋友
yourself	你自己
actually	其实
both	两者都
such	这样的
also	也
haven	避难所
whole	整个的
matter	事情；要紧
bring	带来
tonight	今晚
alone	独自
die	死
each	每个
probably	大概
sit	坐
stuff	东西
exactly	确切地
death	死亡
crazy	疯狂的
kid	小孩
whatever	随便
shut	关上
mine	我的
chance	机会
dear	亲爱的
against	反对；靠着
word	单词
set	放置；一套
shall	将要
hurt	伤害
fight	打架
stand	站
though	虽然
between	在…之间
behind	在后面
able	能够
trouble	麻烦
yours	你的
either	也；两者之一
power	力量
gun	枪
hurry	赶快
along	沿着
funny	好笑的
alive	活着
ahead	在前面
alright	好的
safe	安全的
anybody	任何人
perfect	完美的
himself	他自己
serious	严肃的
possible	可能的
shoot	射击
touch	触摸
sound	声音
glad	高兴的
murder	谋杀
seem	似乎
till	直到
sense	感觉
sex	性
master	主人；精通
rather	相当
bet	打赌
secret	秘密
fall	落下
fault	过错
mad	生气的
piece	一片
wonder	想知道
worth	值得
darling	亲爱的
figure	认为；数字
act	行动；表演
weird	奇怪的
chief	首领
general	一般的；将军
officer	军官；警官
wake	醒来
busy	忙的
mistake	错误
kiss	亲吻
marry	结婚
suppose	猜想
evidence	证据
totally	完全地
information	信息
instead	代替
definitely	肯定地
film	电影
unless	除非
round	圆的；一轮
seriously	认真地
entire	整个的
across	穿过
buddy	伙伴
swear	发誓
dangerous	危险的
army	军队
fair	公平的
fool	傻瓜
attention	注意
club	俱乐部
single	单个的
fear	害怕
force	力量；强迫
american	美国的
honour	荣誉
idiot	白痴
surprise	惊喜
paper	纸
accident	事故
cover	覆盖
certain	确定的
deep	深的
detective	侦探
stick	棍子；粘
personal	个人的
hide	躲藏
whether	是否
soul	灵魂
agent	特工；代理人
blow	吹；打击
scene	场景
killer	杀手
mess	混乱
tough	艰难的
cell	细胞；牢房
within	在…之内
dare	敢
lieutenant	中尉
machine	机器
pleasure	愉快
bloody	该死的
french	法国的
impossible	不可能的
obviously	显然
neither	两者都不
sake	缘故
carry	携带
upset	心烦的
evil	邪恶的
joke	玩笑
cop	警察
huge	巨大的
holy	神圣的
jail	监狱
laughter	笑声
whose	谁的
madam	女士
board	板；董事会
grab	抓住
magic	魔法
reach	到达
colonel	上校
victim	受害者
upon	在…之上
planet	星球
arrest	逮捕
rid	摆脱
knock	敲
owe	欠
final	最后的
escape	逃跑
grand	宏伟的
themselves	他们自己
mate	伙伴
press	按；新闻界
bother	打扰
blame	责怪
type	类型；打字
mission	任务
heaven	天堂
risk	风险
favour	恩惠；赞成
awesome	极好的
guard	守卫
innocent	无辜的
narrator	旁白
herself	她自己
battle	战斗
ourselves	我们自己
gay	同性恋的
guilty	有罪的
apart	分开
bell	铃
bunch	一串
witness	目击者
upstairs	楼上
steal	偷
twice	两次
indeed	确实
energy	能量
pregnant	怀孕的
form	形式
silly	傻的
hole	洞
track	轨道；跟踪
above	在…上面
complete	完成的
applause	掌声
weapon	武器
crowd	人群
treat	对待
roll	滚动
spirit	精神
danger	危险
cost	花费
itself	它自己
apparently	显然
pop	流行音乐
client	客户
bomb	炸弹
suspect	怀疑
extra	额外的
wild	野生的
ridiculous	荒唐的
simply	简单地
camp	营地
medical	医疗的
shame	羞耻
whom	谁(宾格)
majesty	陛下
asleep	睡着的
beauty	美丽
awful	糟糕的
deserve	值得
plenty	大量
sweetheart	亲爱的
excellent	优秀的
beg	乞求
responsible	负责的
military	军事的
common	常见的
german	德国的
whoever	无论谁
commander	指挥官
devil	魔鬼
necessary	必要的
clearly	清楚地
language	语言
fellow	家伙
grandma	奶奶
blind	瞎的
ghost	鬼
tight	紧的
nor	也不
advice	建议
beyond	超过
hardly	几乎不
possibly	可能
inspector	探长
trial	审判
ought	应该
somehow	不知怎么
angel	天使
tape	胶带
powerful	强大的
pardon	原谅
national	国家的
minister	部长
super	超级
natural	自然的
among	在…之中
operation	手术；行动
challenge	挑战
strength	力量
monster	怪物
sight	视力；景象
horrible	可怕的
fantastic	极好的
investigation	调查
nonsense	胡说
doc	医生（口语称呼）
example	例子
trick	诡计
incredible	难以置信的
grandpa	爷爷
criminal	罪犯
truly	真正地
honestly	老实说
survive	幸存
target	目标
sweetie	亲爱的
suicide	自杀
belong	属于
perfectly	完美地
remain	保持
original	原来的
onto	到…上面
fill	装满
sheriff	警长
pretend	假装
female	女性的
pray	祈祷
unfortunately	不幸的是
universe	宇宙
usual	通常的
prefer	更喜欢
aware	意识到的
surely	想必
male	男性的
base	基地
command	命令
proof	证据
dumb	愚蠢的
birth	出生
british	英国的
noise	噪音
brilliant	聪明的
ours	我们的
mister	先生
focus	集中
exist	存在
bullet	子弹
lately	最近
joy	快乐
whenever	无论何时
sword	剑
happiness	幸福
tiny	微小的
settle	定居；解决
indistinct	模糊的
weight	重量
gang	帮派
babe	宝贝
ancient	古代的
staff	员工
unit	单位
gentleman	绅士
fate	命运
split	分开
add	添加
spanish	西班牙的
model	模特；模型
flat	平的；公寓
easily	容易地
screw	螺丝；搞砸
insane	疯狂的
path	小路
harm	伤害
basically	基本上
spare	空闲的；饶恕
speech	演讲
shake	摇动
loose	松的
russian	俄国的
remind	提醒
pal	朋友
naked	赤裸的
damage	损害
silence	沉默
safety	安全
fancy	花哨的；喜欢
dig	挖
good-bye	再见
funeral	葬礼
gate	大门
spread	传播
japanese	日本的
sudden	突然的
castle	城堡
personally	亲自
barely	勉强
regret	后悔
lesson	课
lover	情人
legal	合法的
ill	生病的
owner	主人
revenge	报复
likely	可能的
foreign	外国的
murderer	凶手
farm	农场
obvious	明显的
professional	专业的
goodness	天哪；善良
genius	天才
ruin	毁掉
liar	骗子
thief	小偷
competition	竞争
smith	铁匠
madame	夫人
defence	防御
event	事件
priest	神父
royal	王室的
romantic	浪漫的
familiar	熟悉的
telephone	电话
giant	巨大的
insurance	保险
scare	吓唬
period	时期
political	政治的
statement	声明
suck	糟糕；吸
particular	特定的
proper	恰当的
site	地点
horn	喇叭；角
eventually	最终
pity	遗憾；同情
request	请求
jury	陪审团
attorney	律师
useless	没用的
deliver	递送
scary	吓人的
regular	普通的；定期的
switch	切换
grave	坟墓；严重的
chase	追逐
role	角色
odd	奇怪的
sexy	性感的
badly	严重地
affair	事件；外遇
shock	震惊
golden	金色的
sexual	性的
suffer	受苦
wherever	无论哪里
clever	聪明的
mercy	怜悯
trap	陷阱
bang	砰
poison	毒药
butt	屁股
yourselves	你们自己
mystery	谜
hunt	打猎
indian	印度的
rat	老鼠
italian	意大利的
winner	赢家
council	委员会
appointment	预约
crack	裂缝
threat	威胁
source	来源
palace	宫殿
below	在下面
neighborhood	街区
advantage	优势
pure	纯净的
aside	在旁边
jerk	混蛋
spell	拼写；咒语
freak	怪人
wood	木头
modern	现代的
firm	公司；坚定的
prime	首要的
concern	担忧
available	可用的
central	中央的
union	联盟；工会
studio	工作室
pride	骄傲
miracle	奇迹
hook	钩子
protection	保护
metal	金属
extremely	极其
rescue	营救
capable	有能力的
chatter	闲聊
governor	州长
literally	字面地；简直
deeply	深深地
scream	尖叫
vehicle	车辆
illegal	非法的
unbelievable	难以置信的
boom	轰鸣；激增
former	以前的
decent	体面的
bride	新娘
friendship	友谊
desperate	绝望的
dramatic	戏剧性的
theme	主题
properly	恰当地
dragon	龙
mostly	大多
directly	直接地
surface	表面
cast	演员阵容；投掷
junior	年少的
silent	沉默的
punch	拳打
witch	女巫
announcer	播音员
presence	存在；出席
tear	眼泪；撕
monsieur	先生
technology	技术
wise	明智的
precious	珍贵的
material	材料
convince	说服
beast	野兽
cab	出租车
successful	成功的
eve	前夕
creature	生物
separate	分开的
shift	换班；转变
exact	精确的
expert	专家
direct	直接的
row	排；争吵
series	系列
section	部分
darkness	黑暗
destiny	命运
cure	治愈
rare	稀有的
explosion	爆炸
cigarette	香烟
sacrifice	牺牲
prisoner	囚犯
sin	罪
unusual	不寻常的
county	县
campaign	运动；竞选
vision	视力；远见
reporter	记者
equipment	设备
mass	大量；弥撒
alien	外星人
defend	保卫
trace	痕迹；追踪
nasty	讨厌的
dump	倾倒；甩掉
clue	线索
merry	快乐的
zone	区域
senior	年长的
emperor	皇帝
incident	事件
sentence	句子；判决
anger	愤怒
warrant	逮捕令
kingdom	王国
squad	小队
highness	殿下
sometime	某时
negative	消极的
chain	链条
bull	公牛
fully	完全地
gorgeous	华丽的
passion	激情
empire	帝国
curse	诅咒
hire	雇用
estate	房地产
gunshot	枪声
device	装置
movement	运动
object	物体；反对
loser	失败者
conference	会议
provide	提供
seek	寻求
prize	奖品
previously	先前
wire	电线
approach	靠近；方法
normally	通常
tail	尾巴
bravo	好极了！（喝彩声）
rape	强奸
tank	坦克；水箱
authority	权威
current	当前的；水流
nightmare	噩梦
glory	荣耀
agency	机构
reputation	名声
confidence	信心
yard	院子
beloved	心爱的
lack	缺乏
actual	实际的
flesh	肉体
secure	安全的；确保
highly	高度地
federal	联邦的
emotional	情感的
robbery	抢劫
reward	奖励
commit	犯(罪)；承诺
entirely	完全地
extraordinary	非凡的
opposite	相反的
bay	海湾
slip	滑倒；纸条
alert	警觉的
detail	细节
garbage	垃圾
panic	恐慌
saint	圣人
solid	固体的；可靠的
intend	打算
custody	监护权；拘留
naturally	自然地
guarantee	保证
gather	聚集
violent	暴力的
maid	女仆
childhood	童年
bow	鞠躬；弓
chick	小鸡；妞
disaster	灾难
demon	恶魔
heavily	沉重地
coincidence	巧合
terrific	极好的
crown	王冠
virgin	处女
impressive	令人印象深刻的
potential	潜在的
committee	委员会
advance	前进；预付
quietly	安静地
swing	摇摆
dirt	泥土
whistle	哨子
urgent	紧急的
assure	保证
explanation	解释
unique	独特的
production	生产
slave	奴隶
behave	表现
bury	埋葬
massive	巨大的
pathetic	可悲的
species	物种
struggle	挣扎
daily	每日的
navy	海军
couch	沙发
cheer	欢呼
shoe	鞋
punishment	惩罚
closet	壁橱
bye-bye	再见
coward	懦夫
flash	闪光
siren	警笛
supply	供应
sensitive	敏感的
hopefully	希望
tone	语气；音调
confess	坦白
demand	要求
unknown	未知的
suspicious	可疑的
steady	稳定的
joint	关节；联合的
civil	公民的
express	表达
miserable	痛苦的
shine	照耀
assault	袭击
argue	争论
trail	小径；追踪
mighty	强大的
accent	口音
mobile	移动的
terribly	非常；糟糕地
balance	平衡
nuclear	核的
impression	印象
reaction	反应
gear	装备；齿轮
lane	车道
blast	爆炸
anytime	任何时候
league	联盟
specific	具体的
term	术语；学期
commissioner	局长
rip	撕
mysterious	神秘的
entrance	入口
aboard	在船上
bust	逮捕；半身像
teddy	泰迪熊
afterwards	之后
comfort	安慰
surrender	投降
crush	压碎；暗恋
pee	尿
wing	翅膀
comrade	同志
noble	高尚的
legend	传奇
gross	恶心的；总的
insist	坚持
classic	经典的
skull	头骨
therapy	治疗
lifetime	一生
throughout	遍及
toward	朝向
experiment	实验
cheat	作弊
servant	仆人
bible	圣经
practically	几乎
steel	钢
generation	一代
cabin	小屋；机舱
bond	纽带；债券
deck	甲板
painful	痛苦的
attractive	有吸引力的
realise	意识到
torture	折磨
recent	最近的
sacred	神圣的
jewish	犹太的
crystal	水晶
lad	小伙子
mile	英里
division	部门；分裂
scratch	抓；刮
contest	比赛
distant	遥远的
motion	运动
electricity	电
centre	中心
seal	密封；海豹
standard	标准
inform	通知
purse	钱包
buck	美元；雄鹿
construction	建设
confession	供认
trigger	触发
frankly	坦白说
response	回应
argument	争论
turkey	火鸡；土耳其
everyday	日常的
jungle	丛林
underground	地下
mistress	情妇；女主人
product	产品
religious	宗教的
surveillance	监视
vampire	吸血鬼
routine	例行公事
underneath	在下面
tribe	部落
deputy	副手
reckon	认为
incredibly	极其
chill	寒意；放松
spit	吐
stake	桩；赌注
doorbell	门铃
miller	磨坊主
proceed	继续
traitor	叛徒
outfit	服装
bail	保释
foolish	愚蠢的
cage	笼子
awkward	尴尬的
pattern	模式
filthy	肮脏的
concentrate	集中
someplace	某处
aim	目标；瞄准
basic	基本的
electric	电动的
pleasant	愉快的
western	西方的
average	平均的
ease	轻松
interrupt	打断
warrior	战士
forth	向前
fetch	取来
replace	替换
prayer	祈祷
guilt	罪恶感
woo	追求；求爱
conscience	良心
officially	正式地
unhappy	不快乐的
booth	亭子；摊位
behalf	代表
reasonable	合理的
trunk	后备箱；树干
motive	动机
bishop	主教
dealer	经销商
defendant	被告
nearby	附近的
benefit	好处
territory	领土
apology	道歉
unlike	不像
thus	因此
pipe	管道；烟斗
favourite	最喜欢的
loyal	忠诚的
atmosphere	气氛
pit	坑
rotten	腐烂的
paradise	天堂
meantime	同时
organization	组织
cock	公鸡
fairy	仙女
activity	活动
frame	框架
knight	骑士
shelter	庇护所
flow	流动
prevent	阻止
sample	样本
strip	剥去；条
monk	僧侣
slightly	稍微
produce	生产
judgement	判断力；判决
lousy	糟糕的
existence	存在
belly	肚子
foster	抚养
ward	病房
chairman	主席
individual	个人的
tattoo	纹身
fence	栅栏
punk	朋克；小混混
limit	限制
policeman	警察
precisely	精确地
greek	希腊的
merely	仅仅
reveal	揭示
colour	颜色
pope	教皇
intelligent	聪明的
impact	影响；冲击
relief	宽慰；救济
footage	录像片段
odds	可能性
patrol	巡逻
circus	马戏团
mud	泥
occasion	场合
pulse	脉搏
auntie	阿姨
hers	她的
signature	签名
complain	抱怨
yell	叫喊
resist	抵抗
fantasy	幻想
pitch	音高；投掷
hammer	锤子
homicide	凶杀
spin	旋转
charm	魅力
slap	扇耳光
photograph	照片
beneath	在下面
represent	代表
deaf	聋的
offence	罪行；冒犯
clown	小丑
snap	啪；快照
hood	兜帽；街区
humanity	人类；人性
technically	严格来说
extreme	极端的
oxygen	氧气
shed	棚；流(泪)
minor	次要的
ex	前任；以前的
theatre	剧院
scientific	科学的
chaos	混乱
rocket	火箭
stubborn	固执的
intense	强烈的
grey	灰色的
terrorist	恐怖分子
respond	回应
procedure	程序
absolute	绝对的
tragedy	悲剧
stable	稳定的
session	会议；疗程
capture	捕获
bush	灌木
unable	不能的
reverend	牧师
commercial	商业的
escort	护送；陪同
engagement	订婚；约定
corpse	尸体
worthy	值得的
scale	规模；刻度
academy	学院
hop	跳跃
softly	轻轻地
creepy	令人毛骨悚然的
sneak	偷偷地走
destruction	毁灭
shell	壳；炮弹
chamber	房间；议院
romance	浪漫
instance	实例
testify	作证
walker	行人；散步的人
drill	钻；演练
loyalty	忠诚
junk	垃圾
southern	南方的
jazz	爵士乐
typical	典型的
obey	服从
moron	白痴
latin	拉丁语
parent	父母
rubbish	垃圾
helpful	有帮助的
powder	粉末
bum	流浪汉；屁股
fort	堡垒
alley	小巷
supper	晚餐
penis	阴茎
alibi	不在场证明
pole	杆；极
coke	焦炭；可乐
fighter	战士
blade	刀刃
alpha	阿尔法；首领
liquor	烈酒
widow	寡妇
moral	道德的
award	奖项
grief	悲伤
random	随机的
intention	意图
active	活跃的
trauma	创伤
safely	安全地
invisible	看不见的
internal	内部的
peaceful	和平的
talented	有天赋的
core	核心
serial	连续的；连环的
divine	神圣的
objection	反对
whiskey	威士忌
resistance	抵抗
brief	简短的
punish	惩罚
eternal	永恒的
fabulous	极好的
naughty	顽皮的
tend	倾向于
locker	储物柜
prick	刺；扎
string	绳子
propose	提议；求婚
constantly	不断地
granny	奶奶
nicely	很好地
abuse	虐待；滥用
survival	生存
bend	弯曲
admiral	海军上将
disturb	打扰
maintain	维持
possession	拥有；财产
upper	上面的
tale	故事
warehouse	仓库
hostage	人质
shore	岸
insult	侮辱
heal	治愈
honeymoon	蜜月
appeal	呼吁；吸引
critical	关键的；批评的
crane	起重机；鹤
enormous	巨大的
testimony	证词
commission	佣金；委员会
happily	快乐地
bout	一场；一阵
tense	紧张的
management	管理
assignment	任务
blonde	金发的
comedy	喜剧
stroke	中风；抚摸
facility	设施
appropriate	适当的
remarkable	非凡的
symbol	象征
motor	马达
ambassador	大使
pile	堆
soda	汽水
awfully	非常
differently	不同地
magnificent	壮丽的
steak	牛排
tube	管子
superior	优越的
expression	表达；表情
currently	目前
throne	王座
deadly	致命的
native	本地的；母语的
poetry	诗歌
multiple	多个的
buzz	嗡嗡声
goddess	女神
anxious	焦虑的
musical	音乐的
ultimate	最终的
payment	付款
structure	结构
squeeze	挤压
magical	有魔力的
madness	疯狂
entry	入口；条目
burden	负担
manner	方式
mount	登上；安装
pound	磅；猛击
fond	喜欢的
halfway	半路
rifle	步枪
reception	接待；前台
brick	砖
abandon	抛弃
lap	大腿；一圈
rub	摩擦
complaint	投诉
sail	航行
baker	面包师
bucket	桶
badge	徽章
measure	测量
function	功能
foundation	基础；基金会
unfortunate	不幸的
log	日志；木头
combat	战斗
polish	抛光；波兰语
satellite	卫星
jersey	运动衫
chapter	章节
flip	翻转
barn	谷仓
clan	氏族
pub	酒吧
temporary	临时的
effective	有效的
lamb	羔羊
plot	情节；阴谋
