bring	带来
sit	坐
shut	关上
set	放置；一套
stand	站
hurry	赶快
touch	触摸
fall	落下
wake	醒来
cover	覆盖
hide	躲藏
blow	吹；打击
dare	敢
carry	携带
grab	抓住
reach	到达
rid	摆脱
knock	敲
press	按；新闻界
bother	打扰
treat	对待
roll	滚动
deserve	值得
belong	属于
remain	保持
fill	装满
pretend	假装
exist	存在
settle	定居；解决
split	分开
add	添加
shake	摇动
dig	挖
spread	传播
ruin	毁掉
suck	糟糕；吸
deliver	递送
switch	切换
spell	拼写；咒语
separate	分开的
dump	倾倒；甩掉
provide	提供
seek	寻求
approach	靠近；方法
slip	滑倒；纸条
gather	聚集
advance	前进；预付
swing	摇摆
behave	表现
struggle	挣扎
shine	照耀
rip	撕
crush	压碎；暗恋
scratch	抓；刮
seal	密封；海豹
trigger	触发
spit	吐
proceed	继续
fetch	取来
replace	替换
flow	流动
prevent	阻止
strip	剥去；条
produce	生产
foster	抚养
resist	抵抗
spin	旋转
slap	扇耳光
represent	代表
snap	啪；快照
escort	护送；陪同
hop	跳跃
sneak	偷偷地走
drill	钻；演练
obey	服从
tend	倾向于
prick	刺；扎
bend	弯曲
disturb	打扰
maintain	维持
squeeze	挤压
mount	登上；安装
abandon	抛弃
rub	摩擦
measure	测量
polish	抛光；波兰语
flip	翻转
twist	扭曲
leak	泄漏
require	需要
achieve	实现
operate	操作；动手术
smash	砸碎
permit	允许
burst	爆裂
interfere	干涉
reverse	反转
halt	停止
spoil	破坏；溺爱
explode	爆炸
wreck	残骸；毁坏
approve	批准
stink	发臭
lean	倾斜；瘦的
bump	碰撞；肿块
include	包括
rely	依赖
toss	扔
react	反应
embrace	拥抱
rear	后部；抚养
display	展示
shove	推
cooperate	合作
grip	紧握
dial	拨号；表盘
depend	依赖
locate	定位
spray	喷
crawl	爬
pace	步伐
creep	爬；令人毛骨悚然的人
drain	排水；消耗
ensure	确保
rot	腐烂
spill	洒
encounter	遭遇
accompany	陪伴
establish	建立
assist	协助
float	漂浮
contain	包含
leap	跳跃
bounce	弹跳
engage	参与；从事
reserve	预订；保留
eliminate	消除；淘汰
involve	涉及；牵涉
pursue	追求；追赶
occur	发生
smack	拍打；啪的一声
pose	摆姿势；构成
dip	蘸；下降
flush	冲洗；脸红
cease	停止
weigh	称重；权衡
behold	看哪
