union 联盟；工会
studio 工作室
pride 骄傲
miracle 奇迹
hook 钩子
protection 保护
metal 金属
extremely 极其
treasure 宝藏
rescue 营救
capable 有能力的
chatter 闲聊
governor 州长
literally 字面地；简直
deeply 深深地
scream 尖叫
vehicle 车辆
illegal 非法的
unbelievable 难以置信的
boom 轰鸣；激增
former 以前的
decent 体面的
bride 新娘
friendship 友谊
desperate 绝望的
dramatic 戏剧性的
theme 主题
properly 恰当地
dragon 龙
mostly 大多
directly 直接地
surface 表面
cast 演员阵容；投掷
junior 年少的
silent 沉默的
punch 拳打
witch 女巫
announcer 播音员
someday 某天
presence 存在；出席
tear 眼泪；撕
monsieur 先生
technology 技术
wise 明智的
precious 珍贵的
material 材料
convince 说服
beast 野兽
cab 出租车
successful 成功的
eve 前夕
creature 生物
separate 分开的
shift 换班；转变
exact 精确的
expert 专家
direct 直接的
row 排；争吵
series 系列
section 部分
darkness 黑暗
destiny 命运
cure 治愈
rare 稀有的
explosion 爆炸
cigarette 香烟
sacrifice 牺牲
prisoner 囚犯
sin 罪
unusual 不寻常的
county 县
campaign 运动；竞选
vision 视力；远见
reporter 记者
equipment 设备
mass 大量；弥撒
alien 外星人
defend 保卫
trace 痕迹；追踪
nasty 讨厌的
dump 倾倒；甩掉
clue 线索
merry 快乐的
zone 区域
senior 年长的
emperor 皇帝
incident 事件
sentence 句子；判决
anger 愤怒
warrant 逮捕令
kingdom 王国
squad 小队
highness 殿下
sometime 某时
negative 消极的
chain 链条
bull 公牛
fully 完全地
gorgeous 华丽的
passion 激情
empire 帝国
curse 诅咒
hire 雇用
estate 房地产
gunshot 枪声
device 装置
movement 运动
object 物体；反对
loser 失败者
conference 会议
provide 提供
seek 寻求
prize 奖品
previously 先前
wire 电线
approach 靠近；方法
normally 通常
tail 尾巴
rape 强奸
tank 坦克；水箱
authority 权威
current 当前的；水流
nightmare 噩梦
glory 荣耀
agency 机构
reputation 名声
confidence 信心
yard 院子
beloved 心爱的
lack 缺乏
actual 实际的
flesh 肉体
secure 安全的；确保
highly 高度地
federal 联邦的
emotional 情感的
robbery 抢劫
reward 奖励
commit 犯(罪)；承诺
entirely 完全地
extraordinary 非凡的
opposite 相反的
bay 海湾
slip 滑倒；纸条
alert 警觉的
detail 细节
garbage 垃圾
panic 恐慌
