bible 圣经
cock 公鸡
penis 阴茎
coke 焦炭；可乐
prick 刺；扎
heroin 海洛因
scout 侦察；球探
keen 热衷的；敏锐的
aircraft 飞机
aggressive 好斗的
pale 苍白的
significant 重要的
visual 视觉的
defence 防御
display 展示
fame 名声
twin 双胞胎之一
sorrow 悲伤
vault 金库；跳跃
quote 引用
penalty 处罚；点球
satan 撒旦
helmet 头盔
fuss 大惊小怪
envelope 信封
african 非洲的
tin 锡；罐头
sonic 声音的
collar 衣领
mere 仅仅的
sum 总数
ladder 梯子
alternative 替代的
raid 突袭
corporate 公司的
folk 人们；民间的
cruise 巡航
barrel 桶；枪管
cargo 货物
shove 推
cannon 大炮
arse 屁股
ally 盟友
wee 很小的
teenage 青少年的
cooperate 合作
worthless 一文不值的
kindness 善良
grip 紧握
rumor 谣言
perfume 香水
instrumental 起重要作用的；乐器的
association 协会；关联
fist 拳头
tension 紧张
kindly 好心地
certificate 证书
bold 大胆的
envy 嫉妒
dial 拨号；表盘
coal 煤
upside 好处；上面
imperial 帝国的
paranoid 偏执的
congress 国会
villa 别墅
faint 微弱的；晕倒
tech 科技
bleed 流血
perspective 角度；观点
psychic 通灵的
accidentally 意外地
conclusion 结论
communist 共产主义的
blackmail 敲诈
pacific 太平洋的
risky 冒险的
glorious 光荣的
hatred 仇恨
scotch 苏格兰威士忌
blank 空白的
tender 温柔的；嫩的
tub 浴缸
sucker 容易上当的人
slight 轻微的
addition 增加
campus 校园
ritual 仪式
prey 猎物
so-called 所谓的
genuine 真正的
warden 看守；监狱长
somewhat 有点
zombie 僵尸
electrical 电的
depend 依赖
institute 研究所
principle 原则
therapist 治疗师
compete 竞争
compliment 赞美
worship 崇拜
residence 住所
myth 神话
helpless 无助的
execution 处决；执行
appetite 食欲
formal 正式的
strictly 严格地
technical 技术的
shepherd 牧羊人
brutal 残忍的
vain 徒劳的；自负的
retire 退休
dummy 假人；笨蛋
sailor 水手
bass 低音；鲈鱼
idol 偶像
strict 严格的
formula 公式；配方
clerk 职员
samurai 武士
consciousness 意识
bare 赤裸的
butcher 屠夫
arrangement 安排
ministry 部
locate 定位
nazi 纳粹
parole 假释
prior 先前的
passage 通道；段落
organ 器官；管风琴
outer 外部的
luxury 奢侈品
pistol 手枪
fortunately 幸运的是
tomb 坟墓
element 元素
broadcast 广播
spray 喷
eternity 永恒
handy 方便的
crawl 爬
pace 步伐
stiff 僵硬的
concrete 混凝土；具体的
sausage 香肠
constable 警察
genetic 基因的
loudly 大声地
old-fashioned 老式的
marvelous 极好的
creep 爬；令人毛骨悚然的人
scheme 计划；阴谋
protocol 协议
kidney 肾
invasion 入侵
affection 喜爱
endless 无尽的
discipline 纪律
absence 缺席
philosophy 哲学
reed 芦苇
verdict 裁决
privilege 特权
anyhow 无论如何
scent 气味；香水
naive 天真的
daylight 日光
jolly 快活的
consent 同意
wizard 巫师
ranger 护林员
plague 瘟疫
rascal 淘气鬼
convenient 方便的
hush 安静
instinct 本能
porter 搬运工
originally 原本
drain 排水；消耗
furious 狂怒的
sector 部门
laser 激光
accurate 准确的
suspicion 怀疑
lobby 大厅；游说
secretly 秘密地
declare 宣布
missile 导弹
ensure 确保
tricky 棘手的
