themselves	他们自己
mate	伙伴
press	按；新闻界
bother	打扰
blame	责怪
type	类型；打字
mission	任务
heaven	天堂
risk	风险
favour	恩惠；赞成
awesome	极好的
guard	守卫
innocent	无辜的
narrator	旁白
herself	她自己
battle	战斗
ourselves	我们自己
gay	同性恋的
guilty	有罪的
apart	分开
bell	铃
bunch	一串
witness	目击者
upstairs	楼上
steal	偷
twice	两次
indeed	确实
energy	能量
pregnant	怀孕的
form	形式
silly	傻的
hole	洞
track	轨道；跟踪
above	在…上面
complete	完成的
applause	掌声
weapon	武器
crowd	人群
treat	对待
roll	滚动
spirit	精神
danger	危险
cost	花费
itself	它自己
apparently	显然
pop	流行音乐
client	客户
bomb	炸弹
suspect	怀疑
extra	额外的
wild	野生的
ridiculous	荒唐的
simply	简单地
camp	营地
medical	医疗的
shame	羞耻
whom	谁(宾格)
majesty	陛下
asleep	睡着的
beauty	美丽
awful	糟糕的
deserve	值得
plenty	大量
sweetheart	亲爱的
excellent	优秀的
beg	乞求
responsible	负责的
military	军事的
common	常见的
german	德国的
whoever	无论谁
commander	指挥官
devil	魔鬼
necessary	必要的
clearly	清楚地
language	语言
fellow	家伙
grandma	奶奶
blind	瞎的
ghost	鬼
tight	紧的
nor	也不
advice	建议
beyond	超过
hardly	几乎不
possibly	可能
inspector	探长
trial	审判
ought	应该
somehow	不知怎么
angel	天使
tape	胶带
powerful	强大的
pardon	原谅
national	国家的
minister	部长
super	超级
natural	自然的
among	在…之中
operation	手术；行动
challenge	挑战
strength	力量
monster	怪物
sight	视力；景象
horrible	可怕的
fantastic	极好的
investigation	调查
nonsense	胡说
doc	医生（口语称呼）
example	例子
trick	诡计
incredible	难以置信的
grandpa	爷爷
criminal	罪犯
truly	真正地
honestly	老实说
survive	幸存
target	目标
sweetie	亲爱的
suicide	自杀
belong	属于
perfectly	完美地
remain	保持
original	原来的
onto	到…上面
fill	装满
sheriff	警长
pretend	假装
female	女性的
pray	祈祷
unfortunately	不幸的是
universe	宇宙
usual	通常的
prefer	更喜欢
aware	意识到的
surely	想必
male	男性的
base	基地
command	命令
proof	证据
dumb	愚蠢的
birth	出生
british	英国的
noise	噪音
brilliant	聪明的
ours	我们的
mister	先生
focus	集中
exist	存在
bullet	子弹
lately	最近
joy	快乐
whenever	无论何时
sword	剑
happiness	幸福
tiny	微小的
settle	定居；解决
indistinct	模糊的
weight	重量
gang	帮派
babe	宝贝
ancient	古代的
staff	员工
unit	单位
gentleman	绅士
fate	命运
split	分开
add	添加
spanish	西班牙的
model	模特；模型
flat	平的；公寓
easily	容易地
screw	螺丝；搞砸
insane	疯狂的
path	小路
harm	伤害
basically	基本上
spare	空闲的；饶恕
speech	演讲
shake	摇动
loose	松的
russian	俄国的
remind	提醒
pal	朋友
naked	赤裸的
damage	损害
