stark	鲜明的；荒凉的
gamble	赌博
contain	包含
arrogant	傲慢的
piper	吹笛人
sperm	精子
gesture	手势
whatsoever	无论什么
homeland	祖国；家乡
leap	跳跃
jar	罐子
savage	野蛮的；凶猛的
ivy	常春藤
approximately	大约
kidnap	绑架
bounce	弹跳
creek	小溪
pony	小马
lunatic	疯子；疯狂的
unlikely	不太可能的
gal	姑娘（口语）
colony	殖民地；聚居地
engage	参与；从事
violet	紫罗兰；紫罗兰色
mutual	相互的
offensive	冒犯的；进攻的
harvest	收获；收割
cape	海角；披肩
buffalo	水牛
armour	盔甲
poverty	贫穷
leadership	领导力
ambition	雄心；抱负
racist	种族主义者
correctly	正确地
gasp	喘气；倒抽一口气
villain	恶棍；反派
factor	因素
countess	伯爵夫人
portrait	肖像
font	字体
reserve	预订；保留
umbrella	雨伞
auto	汽车
logical	合乎逻辑的
eliminate	消除；淘汰
carbon	碳
independence	独立
upbeat	乐观的
asian	亚洲的
quest	探索；追寻
memorial	纪念碑
involve	涉及；牵涉
spectacular	壮观的
reliable	可靠的
breach	违反；缺口
echo	回声
indicate	表明；指出
swamp	沼泽
manual	手册；手动的
elegant	优雅的
compound	化合物；院子
pursue	追求；追赶
revolutionary	革命的
rig	钻机；操纵
tribal	部落的
occur	发生
stamp	邮票；跺脚
assassin	刺客
crucial	至关重要的
annual	每年的
torch	火把；手电筒
stall	摊位；熄火
legacy	遗产；遗留
riot	暴乱
whereabouts	下落；行踪
morgue	停尸房
transmission	传输；传递
panel	面板；专家小组
sole	唯一的；脚底
sequence	顺序；序列
sexually	性方面地
smack	拍打；啪的一声
anxiety	焦虑
welfare	福利
orphan	孤儿
settlement	定居点；解决
circuit	电路；巡回
scenario	情景；设想
choir	合唱团
stunt	特技；噱头
equally	同样地
lipstick	口红
courtesy	礼貌
hesitate	犹豫
hatch	孵出；舱口
quid	英镑（口语）
fragile	易碎的
fiction	小说；虚构
pastor	牧师
pose	摆姿势；构成
sadly	悲伤地
importantly	重要地
industrial	工业的
labour	劳动（英式拼法）
evolution	演变；进化
cent	分（货币）
bartender	酒保
calendar	日历
regard	认为；关于
suitable	合适的
strongly	强烈地
fluid	液体；流体
translation	翻译
cricket	蟋蟀；板球
shuttle	穿梭；航天飞机
initial	最初的
perimeter	周边；周长
laboratory	实验室
landlord	房东
hostile	敌意的
cultural	文化的
cottage	小屋；村舍
amateur	业余爱好者
chopper	直升机（口语）；砍刀
rash	皮疹；轻率的
despair	绝望
honourable	光荣的；体面的
shiny	闪亮的
hawk	鹰
representative	代表
distress	痛苦；苦恼
telegram	电报
dip	蘸；下降
flush	冲洗；脸红
magician	魔术师
dynamite	炸药
conquer	征服
unpleasant	令人不快的
jealousy	嫉妒
toxic	有毒的
rally	集会
bloom	开花
corporation	公司
disorder	混乱；失调
sadness	悲伤
cease	停止
scoundrel	恶棍；无赖
sensible	明智的
specialist	专家
bribe	贿赂
interrogation	审讯
graduation	毕业
grid	网格
haircut	理发
regardless	不管怎样
lodge	小屋；寄宿
marina	小艇码头
awhile	一会儿
conscious	有意识的
deliberately	故意地
starve	饿死；挨饿
olive	橄榄
maniac	疯子
psychological	心理的
belle	美女
landscape	风景
straw	稻草；吸管
dam	水坝
accuse	指责；控告
agenda	议程
diner	小餐馆
mainly	主要地
biological	生物的
sincere	真诚的
weigh	称重；权衡
pad	垫子；便签本
swiss	瑞士的
cue	提示；台球杆
parliament	议会
behold	看哪
loop	环；循环
plead	恳求；申辩
