wild 野生的
ridiculous 荒唐的
simply 简单地
camp 营地
medical 医疗的
shame 羞耻
whom 谁(宾格)
majesty 陛下
asleep 睡着的
beauty 美丽
awful 糟糕的
deserve 值得
plenty 大量
sweetheart 亲爱的
excellent 优秀的
beg 乞求
responsible 负责的
military 军事的
common 常见的
german 德国的
whoever 无论谁
commander 指挥官
devil 魔鬼
necessary 必要的
clearly 清楚地
language 语言
fellow 家伙
grandma 奶奶
blind 瞎的
ghost 鬼
tight 紧的
nor 也不
advice 建议
beyond 超过
hardly 几乎不
possibly 可能
inspector 探长
trial 审判
ought 应该
somehow 不知怎么
angel 天使
tape 胶带
powerful 强大的
pardon 原谅
national 国家的
minister 部长
super 超级
natural 自然的
among 在…之中
operation 手术；行动
challenge 挑战
strength 力量
monster 怪物
sight 视力；景象
horrible 可怕的
fantastic 极好的
investigation 调查
nonsense 胡说
example 例子
trick 诡计
incredible 难以置信的
grandpa 爷爷
criminal 罪犯
truly 真正地
honestly 老实说
survive 幸存
target 目标
sweetie 亲爱的
suicide 自杀
belong 属于
perfectly 完美地
remain 保持
original 原来的
onto 到…上面
fill 装满
sheriff 警长
pretend 假装
female 女性的
pray 祈祷
unfortunately 不幸的是
universe 宇宙
usual 通常的
prefer 更喜欢
aware 意识到的
surely 想必
male 男性的
base 基地
command 命令
proof 证据
dumb 愚蠢的
birth 出生
british 英国的
noise 噪音
brilliant 聪明的
ours 我们的
mister 先生
focus 集中
exist 存在
bullet 子弹
lately 最近
joy 快乐
whenever 无论何时
sword 剑
happiness 幸福
