tiny 微小的
settle 定居；解决
indistinct 模糊的
weight 重量
gang 帮派
babe 宝贝
ancient 古代的
staff 员工
unit 单位
gentleman 绅士
fate 命运
split 分开
add 添加
spanish 西班牙的
model 模特；模型
flat 平的；公寓
easily 容易地
screw 螺丝；搞砸
insane 疯狂的
path 小路
harm 伤害
basically 基本上
spare 空闲的；饶恕
speech 演讲
shake 摇动
loose 松的
russian 俄国的
remind 提醒
pal 朋友
naked 赤裸的
damage 损害
silence 沉默
safety 安全
fancy 花哨的；喜欢
dig 挖
good-bye 再见
funeral 葬礼
gate 大门
spread 传播
japanese 日本的
sudden 突然的
castle 城堡
personally 亲自
barely 勉强
regret 后悔
lesson 课
lover 情人
legal 合法的
ill 生病的
owner 主人
revenge 报复
likely 可能的
foreign 外国的
murderer 凶手
farm 农场
obvious 明显的
professional 专业的
goodness 天哪；善良
genius 天才
ruin 毁掉
liar 骗子
thief 小偷
competition 竞争
madame 夫人
defense 防御
event 事件
priest 神父
royal 王室的
romantic 浪漫的
familiar 熟悉的
telephone 电话
giant 巨大的
insurance 保险
scare 吓唬
period 时期
political 政治的
statement 声明
suck 糟糕；吸
particular 特定的
proper 恰当的
site 地点
horn 喇叭；角
eventually 最终
pity 遗憾；同情
request 请求
jury 陪审团
positive 积极的
attorney 律师
useless 没用的
deliver 递送
scary 吓人的
regular 普通的；定期的
switch 切换
grave 坟墓；严重的
chase 追逐
role 角色
odd 奇怪的
sexy 性感的
badly 严重地
affair 事件；外遇
shock 震惊
golden 金色的
sexual 性的
suffer 受苦
wherever 无论哪里
clever 聪明的
mercy 怜悯
trap 陷阱
bang 砰
poison 毒药
butt 屁股
yourselves 你们自己
mystery 谜
hunt 打猎
indian 印度的
rat 老鼠
italian 意大利的
winner 赢家
council 委员会
appointment 预约
crack 裂缝
threat 威胁
source 来源
palace 宫殿
below 在下面
neighborhood 街区
advantage 优势
pure 纯净的
aside 在旁边
jerk 混蛋
spell 拼写；咒语
freak 怪人
wood 木头
modern 现代的
firm 公司；坚定的
prime 首要的
honour 荣誉
concern 担忧
available 可用的
central 中央的
