attractive	有吸引力的
realise	意识到
torture	折磨
recent	最近的
sacred	神圣的
jewish	犹太的
crystal	水晶
lad	小伙子
mile	英里
division	部门；分裂
scratch	抓；刮
contest	比赛
distant	遥远的
motion	运动
electricity	电
centre	中心
seal	密封；海豹
standard	标准
inform	通知
purse	钱包
buck	美元；雄鹿
construction	建设
confession	供认
trigger	触发
frankly	坦白说
response	回应
argument	争论
turkey	火鸡；土耳其
everyday	日常的
jungle	丛林
underground	地下
mistress	情妇；女主人
product	产品
religious	宗教的
surveillance	监视
vampire	吸血鬼
routine	例行公事
underneath	在下面
tribe	部落
deputy	副手
reckon	认为
incredibly	极其
chill	寒意；放松
spit	吐
stake	桩；赌注
doorbell	门铃
miller	磨坊主
proceed	继续
traitor	叛徒
outfit	服装
bail	保释
foolish	愚蠢的
cage	笼子
awkward	尴尬的
pattern	模式
filthy	肮脏的
concentrate	集中
someplace	某处
aim	目标；瞄准
basic	基本的
electric	电动的
pleasant	愉快的
western	西方的
average	平均的
ease	轻松
interrupt	打断
warrior	战士
forth	向前
fetch	取来
replace	替换
prayer	祈祷
guilt	罪恶感
woo	追求；求爱
conscience	良心
officially	正式地
unhappy	不快乐的
booth	亭子；摊位
behalf	代表
reasonable	合理的
trunk	后备箱；树干
motive	动机
bishop	主教
dealer	经销商
defendant	被告
nearby	附近的
benefit	好处
territory	领土
apology	道歉
unlike	不像
thus	因此
pipe	管道；烟斗
favourite	最喜欢的
loyal	忠诚的
atmosphere	气氛
pit	坑
rotten	腐烂的
paradise	天堂
meantime	同时
organization	组织
cock	公鸡
fairy	仙女
activity	活动
frame	框架
knight	骑士
shelter	庇护所
flow	流动
prevent	阻止
sample	样本
strip	剥去；条
monk	僧侣
slightly	稍微
produce	生产
judgement	判断力；判决
lousy	糟糕的
existence	存在
belly	肚子
foster	抚养
ward	病房
chairman	主席
individual	个人的
tattoo	纹身
fence	栅栏
punk	朋克；小混混
limit	限制
policeman	警察
precisely	精确地
greek	希腊的
merely	仅仅
reveal	揭示
colour	颜色
pope	教皇
intelligent	聪明的
impact	影响；冲击
relief	宽慰；救济
footage	录像片段
odds	可能性
patrol	巡逻
circus	马戏团
mud	泥
occasion	场合
pulse	脉搏
auntie	阿姨
hers	她的
signature	签名
complain	抱怨
yell	叫喊
resist	抵抗
fantasy	幻想
pitch	音高；投掷
hammer	锤子
homicide	凶杀
spin	旋转
charm	魅力
slap	扇耳光
photograph	照片
beneath	在下面
represent	代表
deaf	聋的
offence	罪行；冒犯
clown	小丑
snap	啪；快照
hood	兜帽；街区
humanity	人类；人性
technically	严格来说
extreme	极端的
oxygen	氧气
shed	棚；流(泪)
minor	次要的
ex	前任；以前的
theatre	剧院
scientific	科学的
chaos	混乱
rocket	火箭
stubborn	固执的
intense	强烈的
grey	灰色的
terrorist	恐怖分子
respond	回应
procedure	程序
absolute	绝对的
tragedy	悲剧
stable	稳定的
session	会议；疗程
capture	捕获
bush	灌木
unable	不能的
