closely 密切地
pearl 珍珠
priority 优先
boot 靴子；启动
conflict 冲突
sore 疼痛的
unconscious 无意识的
cattle 牛
fairly 相当
recognise 认出
radiation 辐射
specifically 具体地
spoil 破坏；溺爱
candidate 候选人
bloke 家伙
explode 爆炸
immediate 立即的
hunger 饥饿
combination 组合
nanny 保姆
severe 严重的
gut 内脏；勇气
splendid 极好的
vulnerable 脆弱的
vital 至关重要的
bureau 局；办事处
retreat 撤退
ace 王牌
ham 火腿
galaxy 银河；星系
alliance 联盟
drown 溺水
alike 相似的
wreck 残骸；毁坏
approve 批准
physically 身体上
spiritual 精神的
stab 刺
inch 英寸
unexpected 意外的
scandal 丑闻
stink 发臭
shield 盾牌
shooter 射手
instant 瞬间
rehearsal 排练
electronic 电子的
republic 共和国
overnight 一夜之间
counsel 顾问；忠告
bait 诱饵
dignity 尊严
lean 倾斜；瘦的
gossip 八卦
humble 谦逊的
impress 使印象深刻
tissue 纸巾；组织
threaten 威胁
bump 碰撞；肿块
supreme 至高的
bingo 宾果
excitement 兴奋
mankind 人类
broad 宽阔的
vessel 船；血管
foul 犯规；恶臭的
stare 凝视
hut 小屋
coma 昏迷
coffin 棺材
cocaine 可卡因
puppy 小狗
announcement 公告
oath 誓言
mob 暴民
cotton 棉花
autopsy 尸检
advise 建议
gig 演出
skinny 瘦的
include 包括
assistance 帮助
solo 独奏；独自
determine 决定
elsewhere 别处
practical 实用的
adorable 可爱的
rubber 橡胶
suite 套房
personnel 人员
beam 光束
poet 诗人
arrow 箭
counselor 顾问
operator 接线员；操作员
rely 依赖
eastern 东方的
toss 扔
acid 酸
anonymous 匿名的
breast 胸部
sixth 第六
brother-in-law 姐夫；小叔子
roommate 室友
scum 人渣
visitor 访客
commitment 承诺
react 反应
misery 痛苦
theft 盗窃
embrace 拥抱
harsh 严厉的
communicate 交流
faithful 忠实的
flame 火焰
silk 丝绸
cemetery 墓地
rear 后部；抚养
chap 小伙子
bin 箱子
jew 犹太人
gum 口香糖
corporal 下士
rap 说唱；责备
hopeless 绝望的
debate 辩论
era 时代
luckily 幸运的是
ton 吨
liquid 液体
swell 肿胀；极好的
feast 盛宴
profession 职业
bench 长椅
