loudly	大声地
old-fashioned	老式的
marvelous	极好的
creep	爬；令人毛骨悚然的人
scheme	计划；阴谋
protocol	协议
kidney	肾
invasion	入侵
affection	喜爱
endless	无尽的
discipline	纪律
absence	缺席
philosophy	哲学
reed	芦苇
verdict	裁决
drake	公鸭
privilege	特权
anyhow	无论如何
scent	气味；香水
naive	天真的
daylight	日光
jolly	快活的
consent	同意
wizard	巫师
ranger	护林员
plague	瘟疫
rascal	淘气鬼
convenient	方便的
hush	安静
instinct	本能
porter	搬运工
originally	原本
drain	排水；消耗
furious	狂怒的
laser	激光
accurate	准确的
suspicion	怀疑
lobby	大厅；游说
secretly	秘密地
declare	宣布
missile	导弹
ensure	确保
tricky	棘手的
bubble	泡泡
maximum	最大的
carriage	马车；车厢
author	作者
cellar	地窖
mortal	凡人的；致命的
associate	同事；联系
honesty	诚实
mature	成熟的
deed	行为；契约
pirate	海盗
prostitute	妓女
retirement	退休
illusion	幻觉
mill	磨坊
mole	痣；鼹鼠；内奸
prosecution	起诉
fatal	致命的
copper	铜
heir	继承人
lesbian	女同性恋
enterprise	企业
tournament	锦标赛
harbour	港口；避风港
mansion	豪宅
auction	拍卖
bachelor	单身汉；学士
negotiate	谈判
champ	冠军
shotgun	猎枪
cocktail	鸡尾酒
donkey	驴
dizzy	头晕的
reference	参考
bully	欺负
collapse	崩溃
minimum	最小的
civilization	文明
wealthy	富有的
depression	抑郁；萧条
tide	潮水
bra	胸罩
rot	腐烂
spill	洒
static	静电；静止的
almighty	全能的
phrase	短语
disgrace	耻辱
approval	批准
screech	尖叫
ding	叮
fur	毛皮
legally	合法地
ditch	沟；抛弃
dime	一角硬币
domestic	国内的；家庭的
chuckle	轻笑
hack	黑客；砍
ransom	赎金
waitress	女服务员
spite	恶意
rebel	反叛
fortunate	幸运的
disappoint	失望
orbit	轨道
expose	揭露
gin	杜松子酒
sympathy	同情
growth	增长
psychiatrist	精神科医生
encounter	遭遇
accompany	陪伴
column	专栏；柱子
economic	经济的
theirs	他们的
brat	小鬼
hilarious	搞笑的
exclusive	独家的
confusion	混乱
thud	砰
hooker	妓女
dreadful	可怕的
brass	黄铜
tasty	好吃的
lust	欲望
label	标签
tan	棕褐色
ego	自我
phoenix	凤凰
companion	同伴
lottery	彩票
publicity	宣传
dialogue	对话
tremendous	巨大的
pervert	变态
establish	建立
intimate	亲密的
eager	渴望的
atlantic	大西洋的
presentation	演示；陈述
den	兽穴；窝
gratitude	感激
exception	例外
ultimately	最终
compromise	妥协
majority	多数
journal	期刊；日记
essential	必要的
ink	墨水
administration	管理；政府
passionate	热情的
precise	精确的
lawn	草坪
via	通过
opponent	对手
convention	大会；惯例
messenger	信使
versus	对
survivor	幸存者
disguise	伪装
archer	弓箭手
bicycle	自行车
pregnancy	怀孕
wooden	木制的
innocence	无辜
cloth	布
runway	跑道；T台
assist	协助
sickness	疾病
civilian	平民
seventh	第七
household	家庭
float	漂浮
ballet	芭蕾
harmless	无害的
curiosity	好奇心
vicious	恶毒的
glove	手套
greedy	贪婪的
corps	军团
good-looking	好看的
hint	提示
peanut	花生
