silence	沉默
safety	安全
fancy	花哨的；喜欢
dig	挖
good-bye	再见
funeral	葬礼
gate	大门
spread	传播
japanese	日本的
sudden	突然的
castle	城堡
personally	亲自
barely	勉强
regret	后悔
lesson	课
lover	情人
legal	合法的
ill	生病的
owner	主人
revenge	报复
likely	可能的
foreign	外国的
murderer	凶手
farm	农场
obvious	明显的
professional	专业的
goodness	天哪；善良
genius	天才
ruin	毁掉
liar	骗子
thief	小偷
competition	竞争
smith	铁匠
madame	夫人
defence	防御
event	事件
priest	神父
royal	王室的
romantic	浪漫的
familiar	熟悉的
telephone	电话
giant	巨大的
insurance	保险
scare	吓唬
period	时期
political	政治的
statement	声明
suck	糟糕；吸
particular	特定的
proper	恰当的
site	地点
horn	喇叭；角
eventually	最终
pity	遗憾；同情
request	请求
jury	陪审团
attorney	律师
useless	没用的
deliver	递送
scary	吓人的
regular	普通的；定期的
switch	切换
grave	坟墓；严重的
chase	追逐
role	角色
odd	奇怪的
sexy	性感的
badly	严重地
affair	事件；外遇
shock	震惊
golden	金色的
sexual	性的
suffer	受苦
wherever	无论哪里
clever	聪明的
mercy	怜悯
trap	陷阱
bang	砰
poison	毒药
butt	屁股
yourselves	你们自己
mystery	谜
hunt	打猎
indian	印度的
rat	老鼠
italian	意大利的
winner	赢家
council	委员会
appointment	预约
crack	裂缝
threat	威胁
source	来源
palace	宫殿
below	在下面
neighborhood	街区
advantage	优势
pure	纯净的
aside	在旁边
jerk	混蛋
spell	拼写；咒语
freak	怪人
wood	木头
modern	现代的
firm	公司；坚定的
prime	首要的
concern	担忧
available	可用的
central	中央的
union	联盟；工会
studio	工作室
pride	骄傲
miracle	奇迹
hook	钩子
protection	保护
metal	金属
extremely	极其
rescue	营救
capable	有能力的
chatter	闲聊
governor	州长
literally	字面地；简直
deeply	深深地
scream	尖叫
vehicle	车辆
illegal	非法的
unbelievable	难以置信的
boom	轰鸣；激增
former	以前的
decent	体面的
bride	新娘
friendship	友谊
desperate	绝望的
dramatic	戏剧性的
theme	主题
properly	恰当地
dragon	龙
mostly	大多
directly	直接地
surface	表面
cast	演员阵容；投掷
junior	年少的
silent	沉默的
punch	拳打
witch	女巫
announcer	播音员
presence	存在；出席
tear	眼泪；撕
monsieur	先生
technology	技术
wise	明智的
precious	珍贵的
material	材料
convince	说服
beast	野兽
cab	出租车
successful	成功的
eve	前夕
creature	生物
separate	分开的
shift	换班；转变
exact	精确的
expert	专家
direct	直接的
row	排；争吵
series	系列
section	部分
darkness	黑暗
destiny	命运
cure	治愈
rare	稀有的
explosion	爆炸
cigarette	香烟
sacrifice	牺牲
prisoner	囚犯
sin	罪
unusual	不寻常的
county	县
campaign	运动；竞选
vision	视力；远见
reporter	记者
equipment	设备
mass	大量；弥撒
alien	外星人
defend	保卫
trace	痕迹；追踪
nasty	讨厌的
