reverend	牧师
commercial	商业的
escort	护送；陪同
engagement	订婚；约定
corpse	尸体
worthy	值得的
scale	规模；刻度
academy	学院
hop	跳跃
softly	轻轻地
creepy	令人毛骨悚然的
sneak	偷偷地走
destruction	毁灭
shell	壳；炮弹
chamber	房间；议院
romance	浪漫
instance	实例
testify	作证
walker	行人；散步的人
drill	钻；演练
loyalty	忠诚
junk	垃圾
southern	南方的
jazz	爵士乐
typical	典型的
obey	服从
moron	白痴
latin	拉丁语
parent	父母
rubbish	垃圾
helpful	有帮助的
powder	粉末
bum	流浪汉；屁股
fort	堡垒
alley	小巷
supper	晚餐
penis	阴茎
alibi	不在场证明
pole	杆；极
coke	焦炭；可乐
fighter	战士
blade	刀刃
alpha	阿尔法；首领
liquor	烈酒
widow	寡妇
moral	道德的
award	奖项
grief	悲伤
random	随机的
intention	意图
active	活跃的
trauma	创伤
safely	安全地
invisible	看不见的
internal	内部的
peaceful	和平的
talented	有天赋的
core	核心
serial	连续的；连环的
divine	神圣的
objection	反对
whiskey	威士忌
resistance	抵抗
brief	简短的
punish	惩罚
eternal	永恒的
fabulous	极好的
naughty	顽皮的
tend	倾向于
locker	储物柜
prick	刺；扎
string	绳子
propose	提议；求婚
constantly	不断地
granny	奶奶
nicely	很好地
abuse	虐待；滥用
survival	生存
bend	弯曲
admiral	海军上将
disturb	打扰
maintain	维持
possession	拥有；财产
upper	上面的
tale	故事
warehouse	仓库
hostage	人质
shore	岸
insult	侮辱
heal	治愈
honeymoon	蜜月
appeal	呼吁；吸引
critical	关键的；批评的
crane	起重机；鹤
enormous	巨大的
testimony	证词
commission	佣金；委员会
happily	快乐地
bout	一场；一阵
tense	紧张的
management	管理
assignment	任务
blonde	金发的
comedy	喜剧
stroke	中风；抚摸
facility	设施
appropriate	适当的
remarkable	非凡的
symbol	象征
motor	马达
ambassador	大使
pile	堆
soda	汽水
awfully	非常
differently	不同地
magnificent	壮丽的
steak	牛排
tube	管子
superior	优越的
expression	表达；表情
currently	目前
throne	王座
deadly	致命的
native	本地的；母语的
poetry	诗歌
multiple	多个的
buzz	嗡嗡声
goddess	女神
anxious	焦虑的
musical	音乐的
ultimate	最终的
payment	付款
structure	结构
squeeze	挤压
magical	有魔力的
madness	疯狂
entry	入口；条目
burden	负担
manner	方式
mount	登上；安装
pound	磅；猛击
fond	喜欢的
halfway	半路
rifle	步枪
reception	接待；前台
brick	砖
abandon	抛弃
lap	大腿；一圈
rub	摩擦
complaint	投诉
sail	航行
baker	面包师
bucket	桶
badge	徽章
measure	测量
function	功能
foundation	基础；基金会
unfortunate	不幸的
log	日志；木头
combat	战斗
polish	抛光；波兰语
satellite	卫星
jersey	运动衫
chapter	章节
flip	翻转
barn	谷仓
clan	氏族
pub	酒吧
temporary	临时的
effective	有效的
lamb	羔羊
plot	情节；阴谋
proposal	提议；求婚
rage	愤怒
basis	基础
twist	扭曲
leak	泄漏
item	物品；项目
catholic	天主教的
inner	内部的
patch	补丁
necessarily	必然
humour	幽默
e-mail	电子邮件
rocky	崎岖的
creative	有创意的
